date,item_id,item_name,category,store_id,units_sold,sell_price,unit_cost,fixed_costs,event_name,event_type,snap_flag,competitor_price
2011-01-29,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,93.0,1.25,0.75,500.0,None,None,0,1.31
2011-01-30,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,72.0,1.25,0.75,500.0,None,None,0,1.3
2011-01-31,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,50.0,1.25,0.75,500.0,None,None,0,1.29
2011-02-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,62.0,1.25,0.75,500.0,None,None,1,1.22
2011-02-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,54.0,1.25,0.75,500.0,None,None,1,1.34
2011-02-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,57.0,1.25,0.75,500.0,None,None,1,1.25
2011-02-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.25,0.75,500.0,None,None,1,1.23
2011-02-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,73.0,1.25,0.75,500.0,None,None,1,1.33
2011-02-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,108.0,1.25,0.75,500.0,SuperBowl,Sporting,1,1.33
2011-02-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,49.0,1.25,0.75,500.0,None,None,1,1.29
2011-02-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.25,0.75,500.0,None,None,1,1.34
2011-02-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,72.0,1.25,0.75,500.0,None,None,1,1.36
2011-02-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,67.0,1.25,0.75,500.0,None,None,1,1.35
2011-02-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,74.0,1.25,0.75,500.0,None,None,0,1.26
2011-02-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,68.0,1.25,0.75,500.0,None,None,0,1.34
2011-02-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.25,0.75,500.0,None,None,0,1.3
2011-02-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,62.0,1.25,0.75,500.0,None,None,0,1.37
2011-02-15,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,44.0,1.25,0.75,500.0,None,None,0,1.28
2011-02-16,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.25,0.75,500.0,None,None,0,1.27
2011-02-17,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,72.0,1.25,0.75,500.0,None,None,0,1.26
2011-02-18,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,73.0,1.25,0.75,500.0,None,None,0,1.3
